"","year","sex","name","n","prop"
"629",1970,"M","Monica",33,1.732e-05
"630",1970,"M","Rachel",20,1.05e-05
"631",1971,"F","Monica",6426,0.00366704
"632",1971,"F","Rachel",6122,0.00349356
"633",1971,"F","Joey",167,9.53e-05
"634",1971,"F","Phoebe",113,6.448e-05
"635",1971,"F","Ross",6,3.42e-06
"636",1971,"M","Joey",1071,0.00058899
"637",1971,"M","Ross",858,0.00047185
"638",1971,"M","Chandler",99,5.444e-05
"639",1971,"M","Rachel",32,1.76e-05
"640",1971,"M","Monica",30,1.65e-05
"641",1972,"F","Rachel",6415,0.00397838
"642",1972,"F","Monica",6127,0.00379977
"643",1972,"F","Joey",185,0.00011473
"644",1972,"F","Phoebe",112,6.946e-05
"645",1972,"F","Chandler",6,3.72e-06
"646",1972,"M","Joey",911,0.00054399
"647",1972,"M","Ross",709,0.00042337
"648",1972,"M","Chandler",94,5.613e-05
"649",1972,"M","Monica",26,1.553e-05
"650",1972,"M","Rachel",15,8.96e-06
"651",1973,"F","Monica",6375,0.00410222
"652",1973,"F","Rachel",6106,0.00392913
"653",1973,"F","Joey",208,0.00013385
"654",1973,"F","Phoebe",118,7.593e-05
"655",1973,"F","Ross",11,7.08e-06
"656",1973,"F","Chandler",5,3.22e-06
"657",1973,"M","Joey",873,0.00054082
"658",1973,"M","Ross",715,0.00044294
"659",1973,"M","Chandler",59,3.655e-05
"660",1973,"M","Monica",42,2.602e-05
"661",1973,"M","Rachel",21,1.301e-05
"662",1974,"F","Rachel",7397,0.00472308
"663",1974,"F","Monica",6284,0.00401242
"664",1974,"F","Joey",232,0.00014814
"665",1974,"F","Phoebe",95,6.066e-05
"666",1974,"F","Chandler",8,5.11e-06
"667",1974,"F","Ross",7,4.47e-06
"668",1974,"M","Joey",855,0.0005243
"669",1974,"M","Ross",674,0.00041331
"670",1974,"M","Chandler",45,2.759e-05
"671",1974,"M","Rachel",35,2.146e-05
"672",1974,"M","Monica",30,1.84e-05
"673",1975,"F","Rachel",8225,0.00526994
"674",1975,"F","Monica",5477,0.00350924
"675",1975,"F","Joey",223,0.00014288
"676",1975,"F","Phoebe",112,7.176e-05
"677",1975,"F","Ross",6,3.84e-06
"678",1975,"M","Joey",840,0.00051755
"679",1975,"M","Ross",679,0.00041835
"680",1975,"M","Chandler",66,4.066e-05
"681",1975,"M","Monica",33,2.033e-05
"682",1975,"M","Rachel",23,1.417e-05
"683",1976,"F","Rachel",8456,0.0053796
"684",1976,"F","Monica",5981,0.00380504
"685",1976,"F","Joey",203,0.00012915
"686",1976,"F","Phoebe",107,6.807e-05
"687",1976,"F","Chandler",7,4.45e-06
"688",1976,"M","Joey",1161,0.00071086
"689",1976,"M","Ross",680,0.00041635
"690",1976,"M","Chandler",66,4.041e-05
"691",1976,"M","Monica",34,2.082e-05
"692",1976,"M","Rachel",28,1.714e-05
"693",1977,"F","Rachel",8976,0.00545678
"694",1977,"F","Monica",6365,0.00386947
"695",1977,"F","Joey",199,0.00012098
"696",1977,"F","Phoebe",151,9.18e-05
"697",1977,"F","Chandler",7,4.26e-06
"698",1977,"M","Joey",1213,0.00070942
"699",1977,"M","Ross",823,0.00048133
"700",1977,"M","Chandler",48,2.807e-05
"701",1977,"M","Rachel",38,2.222e-05
"702",1977,"M","Monica",32,1.871e-05
"703",1978,"F","Rachel",9805,0.00596488
"704",1978,"F","Monica",5865,0.00356798
"705",1978,"F","Joey",147,8.943e-05
"706",1978,"F","Phoebe",115,6.996e-05
"707",1978,"F","Chandler",5,3.04e-06
"708",1978,"F","Ross",5,3.04e-06
"709",1978,"M","Joey",1072,0.00062723
"710",1978,"M","Ross",919,0.00053771
"711",1978,"M","Chandler",63,3.686e-05
"712",1978,"M","Rachel",39,2.282e-05
"713",1978,"M","Monica",31,1.814e-05
"714",1979,"F","Rachel",10235,0.00593976
"715",1979,"F","Monica",6586,0.00382211
"716",1979,"F","Joey",173,0.0001004
"717",1979,"F","Phoebe",100,5.803e-05
"718",1979,"F","Ross",11,6.38e-06
"719",1979,"F","Chandler",7,4.06e-06
"720",1979,"M","Joey",1095,0.00061111
"721",1979,"M","Ross",1001,0.00055865
"722",1979,"M","Chandler",70,3.907e-05
"723",1979,"M","Rachel",41,2.288e-05
"724",1979,"M","Monica",34,1.898e-05
"725",1980,"F","Rachel",11622,0.00652789
"726",1980,"F","Monica",6034,0.0033892
"727",1980,"F","Joey",126,7.077e-05
"728",1980,"F","Phoebe",84,4.718e-05
"729",1980,"F","Chandler",19,1.067e-05
"730",1980,"F","Ross",5,2.81e-06
"731",1980,"M","Joey",1155,0.00062263
"732",1980,"M","Ross",1040,0.00056064
"733",1980,"M","Chandler",66,3.558e-05
"734",1980,"M","Rachel",57,3.073e-05
"735",1980,"M","Monica",43,2.318e-05
"736",1981,"F","Rachel",12586,0.00703823
"737",1981,"F","Monica",5783,0.00323392
"738",1981,"F","Joey",101,5.648e-05
"739",1981,"F","Phoebe",83,4.641e-05
"740",1981,"F","Chandler",18,1.007e-05
"741",1981,"M","Ross",1241,0.00066634
"742",1981,"M","Joey",1072,0.0005756
"743",1981,"M","Chandler",70,3.759e-05
"744",1981,"M","Rachel",50,2.685e-05
"745",1981,"M","Monica",31,1.665e-05
"746",1982,"F","Rachel",13869,0.0076456
"747",1982,"F","Monica",5734,0.003161
"748",1982,"F","Phoebe",80,4.41e-05
"749",1982,"F","Joey",74,4.079e-05
"750",1982,"F","Chandler",18,9.92e-06
"751",1982,"F","Ross",14,7.72e-06
"752",1982,"M","Ross",1464,0.00077578
"753",1982,"M","Joey",1001,0.00053044
"754",1982,"M","Chandler",90,4.769e-05
"755",1982,"M","Rachel",64,3.391e-05
"756",1982,"M","Monica",39,2.067e-05
"757",1983,"F","Rachel",14592,0.0081549
"758",1983,"F","Monica",5402,0.00301897
"759",1983,"F","Phoebe",92,5.142e-05
"760",1983,"F","Joey",80,4.471e-05
"761",1983,"F","Chandler",21,1.174e-05
"762",1983,"F","Ross",11,6.15e-06
"763",1983,"M","Ross",1344,0.00072129
"764",1983,"M","Joey",791,0.00042451
"765",1983,"M","Chandler",88,4.723e-05
"766",1983,"M","Rachel",43,2.308e-05
"767",1983,"M","Monica",36,1.932e-05
"768",1984,"F","Rachel",15837,0.00878423
"769",1984,"F","Monica",5130,0.00284543
"770",1984,"F","Phoebe",106,5.879e-05
"771",1984,"F","Joey",58,3.217e-05
"772",1984,"F","Chandler",18,9.98e-06
"773",1984,"F","Ross",14,7.77e-06
"774",1984,"M","Ross",1745,0.00093006
"775",1984,"M","Joey",741,0.00039494
"776",1984,"M","Chandler",118,6.289e-05
"777",1984,"M","Rachel",83,4.424e-05
"778",1984,"M","Monica",26,1.386e-05
"779",1985,"F","Rachel",16358,0.00886179
"780",1985,"F","Monica",4991,0.00270383
"781",1985,"F","Phoebe",117,6.338e-05
"782",1985,"F","Joey",48,2.6e-05
"783",1985,"F","Chandler",14,7.58e-06
"784",1985,"F","Ross",14,7.58e-06
"785",1985,"M","Ross",1885,0.00097982
"786",1985,"M","Joey",763,0.00039661
"787",1985,"M","Chandler",120,6.238e-05
"788",1985,"M","Rachel",77,4.002e-05
"789",1985,"M","Monica",28,1.455e-05
"790",1986,"F","Rachel",15452,0.00837486
"791",1986,"F","Monica",5012,0.00271646
"792",1986,"F","Phoebe",139,7.534e-05
"793",1986,"F","Joey",45,2.439e-05
"794",1986,"F","Chandler",20,1.084e-05
"795",1986,"F","Ross",16,8.67e-06
"796",1986,"M","Ross",1773,0.00092298
"797",1986,"M","Joey",656,0.0003415
"798",1986,"M","Chandler",142,7.392e-05
"799",1986,"M","Rachel",56,2.915e-05
"800",1986,"M","Monica",37,1.926e-05
"801",1987,"F","Rachel",15643,0.00834814
"802",1987,"F","Monica",4810,0.00256693
"803",1987,"F","Phoebe",109,5.817e-05
"804",1987,"F","Joey",39,2.081e-05
"805",1987,"F","Chandler",36,1.921e-05
"806",1987,"F","Ross",7,3.74e-06
"807",1987,"M","Ross",1665,0.00085408
"808",1987,"M","Joey",721,0.00036984
"809",1987,"M","Chandler",198,0.00010157
"810",1987,"M","Rachel",63,3.232e-05
"811",1987,"M","Monica",33,1.693e-05
"812",1988,"F","Rachel",15344,0.00798094
"813",1988,"F","Monica",4461,0.00232032
"814",1988,"F","Phoebe",121,6.294e-05
"815",1988,"F","Joey",47,2.445e-05
"816",1988,"F","Chandler",41,2.133e-05
"817",1988,"F","Ross",15,7.8e-06
"818",1988,"M","Ross",1768,0.00088341
"819",1988,"M","Joey",618,0.00030879
"820",1988,"M","Chandler",224,0.00011193
"821",1988,"M","Rachel",62,3.098e-05
"822",1988,"M","Monica",26,1.299e-05
"823",1989,"F","Rachel",15356,0.00770926
"824",1989,"F","Monica",4503,0.00226067
"825",1989,"F","Phoebe",189,9.488e-05
"826",1989,"F","Chandler",65,3.263e-05
"827",1989,"F","Joey",42,2.109e-05
"828",1989,"F","Ross",10,5.02e-06
"829",1989,"M","Ross",1787,0.0008528
"830",1989,"M","Joey",605,0.00028872
"831",1989,"M","Chandler",301,0.00014364
"832",1989,"M","Rachel",106,5.059e-05
"833",1989,"M","Monica",36,1.718e-05
"834",1990,"F","Rachel",15705,0.0076462
"835",1990,"F","Monica",4453,0.00216801
"836",1990,"F","Phoebe",225,0.00010954
"837",1990,"F","Chandler",84,4.09e-05
"838",1990,"F","Joey",44,2.142e-05
"839",1990,"F","Ross",9,4.38e-06
"840",1990,"M","Ross",1618,0.00075215
"841",1990,"M","Joey",684,0.00031797
"842",1990,"M","Chandler",396,0.00018409
"843",1990,"M","Rachel",40,1.859e-05
"844",1990,"M","Monica",19,8.83e-06
"845",1991,"F","Rachel",16343,0.0080384
"846",1991,"F","Monica",4156,0.00204415
"847",1991,"F","Phoebe",233,0.0001146
"848",1991,"F","Chandler",90,4.427e-05
"849",1991,"F","Joey",60,2.951e-05
"850",1991,"F","Ross",6,2.95e-06
"851",1991,"M","Ross",1446,0.00068234
"852",1991,"M","Joey",652,0.00030766
"853",1991,"M","Chandler",467,0.00022037
"854",1991,"M","Rachel",31,1.463e-05
"855",1991,"M","Monica",26,1.227e-05
"856",1992,"F","Rachel",15837,0.00790152
"857",1992,"F","Monica",4587,0.00228858
"858",1992,"F","Chandler",437,0.00021803
"859",1992,"F","Phoebe",194,9.679e-05
"860",1992,"F","Joey",54,2.694e-05
"861",1992,"M","Ross",1277,0.0006085
"862",1992,"M","Joey",573,0.00027304
"863",1992,"M","Chandler",553,0.00026351
"864",1992,"M","Rachel",26,1.239e-05
"865",1992,"M","Monica",24,1.144e-05
"866",1993,"F","Rachel",15971,0.00810227
"867",1993,"F","Monica",3900,0.00197852
"868",1993,"F","Chandler",733,0.00037186
"869",1993,"F","Phoebe",214,0.00010856
"870",1993,"F","Joey",53,2.689e-05
"871",1993,"M","Ross",942,0.00045618
"872",1993,"M","Chandler",661,0.0003201
"873",1993,"M","Joey",653,0.00031623
"874",1993,"M","Rachel",26,1.259e-05
"875",1993,"M","Monica",24,1.162e-05
"876",1994,"F","Rachel",15486,0.00794552
"877",1994,"F","Monica",3911,0.00200665
"878",1994,"F","Chandler",570,0.00029245
"879",1994,"F","Phoebe",247,0.00012673
"880",1994,"F","Joey",53,2.719e-05
"881",1994,"M","Ross",838,0.0004112
"882",1994,"M","Chandler",704,0.00034545
"883",1994,"M","Joey",554,0.00027184
"884",1994,"M","Rachel",25,1.227e-05
"885",1994,"M","Monica",21,1.03e-05
"886",1995,"F","Rachel",16044,0.00835095
"887",1995,"F","Monica",3968,0.00206536
"888",1995,"F","Chandler",744,0.00038725
"889",1995,"F","Phoebe",396,0.00020612
"890",1995,"F","Joey",67,3.487e-05
"891",1995,"M","Chandler",1856,0.00092293
"892",1995,"M","Ross",1047,0.00052064
"893",1995,"M","Joey",507,0.00025211
"894",1995,"M","Rachel",28,1.392e-05
"895",1995,"M","Monica",12,5.97e-06
"896",1996,"F","Rachel",16115,0.00840688
"897",1996,"F","Monica",4325,0.00225627
"898",1996,"F","Chandler",493,0.00025719
"899",1996,"F","Phoebe",432,0.00022537
"900",1996,"F","Joey",49,2.556e-05
"901",1996,"M","Chandler",2185,0.00109066
"902",1996,"M","Ross",1041,0.00051962
"903",1996,"M","Joey",470,0.0002346
"904",1996,"M","Rachel",25,1.248e-05
"905",1996,"M","Monica",17,8.49e-06
"906",1997,"F","Rachel",13787,0.00722283
"907",1997,"F","Monica",4223,0.00221238
"908",1997,"F","Phoebe",419,0.00021951
"909",1997,"F","Chandler",416,0.00021794
"910",1997,"F","Joey",56,2.934e-05
"911",1997,"M","Chandler",1796,0.0008992
"912",1997,"M","Ross",795,0.00039803
"913",1997,"M","Joey",441,0.00022079
"914",1997,"M","Rachel",23,1.152e-05
"915",1997,"M","Monica",9,4.51e-06
"916",1998,"F","Rachel",12201,0.00629564
"917",1998,"F","Monica",3229,0.00166614
"918",1998,"F","Chandler",412,0.00021259
"919",1998,"F","Phoebe",397,0.00020485
"920",1998,"F","Joey",71,3.664e-05
"921",1998,"M","Chandler",1952,0.00096293
"922",1998,"M","Ross",789,0.00038922
"923",1998,"M","Joey",403,0.0001988
"924",1998,"M","Rachel",18,8.88e-06
"925",1998,"M","Monica",13,6.41e-06
"926",1999,"F","Rachel",11624,0.00597265
"927",1999,"F","Monica",2133,0.00109598
"928",1999,"F","Phoebe",527,0.00027078
"929",1999,"F","Chandler",447,0.00022968
"930",1999,"F","Joey",70,3.597e-05
"931",1999,"F","Ross",5,2.57e-06
"932",1999,"M","Chandler",2395,0.00117497
"933",1999,"M","Ross",667,0.00032723
"934",1999,"M","Joey",449,0.00022028
"935",1999,"M","Rachel",17,8.34e-06
"936",2000,"F","Rachel",10673,0.00535019
"937",2000,"F","Monica",1990,0.00099755
"938",2000,"F","Phoebe",641,0.00032132
"939",2000,"F","Chandler",326,0.00016342
"940",2000,"F","Joey",80,4.01e-05
"941",2000,"F","Ross",5,2.51e-06
"942",2000,"M","Chandler",2131,0.00102089
"943",2000,"M","Ross",561,0.00026876
"944",2000,"M","Joey",481,0.00023043
"945",2000,"M","Rachel",12,5.75e-06
"946",2001,"F","Rachel",9537,0.00481657
"947",2001,"F","Monica",1793,0.00090554
"948",2001,"F","Phoebe",752,0.00037979
"949",2001,"F","Chandler",240,0.00012121
"950",2001,"F","Joey",95,4.798e-05
"951",2001,"M","Chandler",1792,0.00086678
"952",2001,"M","Ross",503,0.0002433
"953",2001,"M","Joey",435,0.00021041
"954",2001,"M","Rachel",8,3.87e-06
"955",2001,"M","Monica",6,2.9e-06
"956",2002,"F","Rachel",8923,0.00452036
"957",2002,"F","Monica",1778,0.00090073
"958",2002,"F","Phoebe",665,0.00033689
"959",2002,"F","Chandler",223,0.00011297
"960",2002,"F","Joey",92,4.661e-05
"961",2002,"M","Chandler",1417,0.00068602
"962",2002,"M","Joey",448,0.00021689
"963",2002,"M","Ross",425,0.00020576
"964",2002,"M","Rachel",15,7.26e-06
"965",2003,"F","Rachel",7981,0.00397974
"966",2003,"F","Monica",1613,0.00080433
"967",2003,"F","Phoebe",688,0.00034307
"968",2003,"F","Chandler",172,8.577e-05
"969",2003,"F","Joey",132,6.582e-05
"970",2003,"F","Ross",6,2.99e-06
"971",2003,"M","Chandler",1270,0.00060475
"972",2003,"M","Joey",494,0.00023523
"973",2003,"M","Ross",377,0.00017952
"974",2003,"M","Rachel",14,6.67e-06
"975",2004,"F","Rachel",6914,0.00342857
"976",2004,"F","Monica",1512,0.00074978
"977",2004,"F","Phoebe",751,0.00037241
"978",2004,"F","Chandler",136,6.744e-05
"979",2004,"F","Joey",121,6e-05
"980",2004,"F","Ross",6,2.98e-06
"981",2004,"M","Chandler",1130,0.00053499
"982",2004,"M","Joey",508,0.00024051
"983",2004,"M","Ross",350,0.0001657
"984",2004,"M","Rachel",34,1.61e-05
"985",2004,"M","Monica",9,4.26e-06
"986",2004,"M","Phoebe",5,2.37e-06
"987",2005,"F","Rachel",6213,0.00306335
"988",2005,"F","Monica",1409,0.00069471
"989",2005,"F","Phoebe",730,0.00035993
"990",2005,"F","Chandler",156,7.692e-05
"991",2005,"F","Joey",146,7.199e-05
"992",2005,"M","Chandler",870,0.00040921
"993",2005,"M","Joey",482,0.00022671
"994",2005,"M","Ross",313,0.00014722
"995",2005,"M","Rachel",13,6.11e-06
"996",2006,"F","Rachel",5527,0.0026457
"997",2006,"F","Monica",1362,0.00065197
"998",2006,"F","Phoebe",890,0.00042603
"999",2006,"F","Chandler",132,6.319e-05
"1000",2006,"F","Joey",127,6.079e-05
"1001",2006,"M","Chandler",753,0.0003437
"1002",2006,"M","Joey",473,0.0002159
"1003",2006,"M","Ross",283,0.00012917
"1004",2006,"M","Rachel",7,3.2e-06
"1005",2007,"F","Rachel",4825,0.00228154
"1006",2007,"F","Monica",1190,0.0005627
"1007",2007,"F","Phoebe",988,0.00046718
"1008",2007,"F","Chandler",135,6.384e-05
"1009",2007,"F","Joey",133,6.289e-05
"1010",2007,"M","Chandler",674,0.00030451
"1011",2007,"M","Joey",470,0.00021234
"1012",2007,"M","Ross",261,0.00011792
"1013",2007,"M","Rachel",7,3.16e-06
"1014",2008,"F","Rachel",4078,0.0019597
"1015",2008,"F","Monica",1061,0.00050987
"1016",2008,"F","Phoebe",959,0.00046085
"1017",2008,"F","Chandler",122,5.863e-05
"1018",2008,"F","Joey",110,5.286e-05
"1019",2008,"M","Chandler",607,0.00027864
"1020",2008,"M","Joey",447,0.00020519
"1021",2008,"M","Ross",258,0.00011843
"1022",2008,"M","Rachel",5,2.3e-06
"1023",2009,"F","Rachel",3582,0.00177066
"1024",2009,"F","Phoebe",1016,0.00050223
"1025",2009,"F","Monica",972,0.00048048
"1026",2009,"F","Chandler",100,4.943e-05
"1027",2009,"F","Joey",99,4.894e-05
"1028",2009,"M","Chandler",579,0.00027325
"1029",2009,"M","Joey",407,0.00019208
"1030",2009,"M","Ross",227,0.00010713
"1031",2009,"M","Rachel",5,2.36e-06
"1032",2010,"F","Rachel",3016,0.00154012
"1033",2010,"F","Phoebe",1038,0.00053006
"1034",2010,"F","Monica",886,0.00045244
"1035",2010,"F","Chandler",116,5.924e-05
"1036",2010,"F","Joey",102,5.209e-05
"1037",2010,"M","Chandler",524,0.00025535
"1038",2010,"M","Joey",404,0.00019687
"1039",2010,"M","Ross",218,0.00010623
"1040",2011,"F","Rachel",2655,0.00137206
"1041",2011,"F","Phoebe",1022,0.00052815
"1042",2011,"F","Monica",776,0.00040102
"1043",2011,"F","Chandler",140,7.235e-05
"1044",2011,"F","Joey",90,4.651e-05
"1045",2011,"M","Chandler",615,0.00030317
"1046",2011,"M","Joey",407,0.00020063
"1047",2011,"M","Ross",214,0.00010549
"1048",2012,"F","Rachel",2413,0.00124623
"1049",2012,"F","Phoebe",1060,0.00054745
"1050",2012,"F","Monica",722,0.00037289
"1051",2012,"F","Chandler",161,8.315e-05
"1052",2012,"F","Joey",83,4.287e-05
"1053",2012,"M","Chandler",595,0.0002937
"1054",2012,"M","Joey",403,0.00019892
"1055",2012,"M","Ross",212,0.00010465
"1056",2012,"M","Rachel",7,3.46e-06
"1057",2013,"F","Rachel",2311,0.00120123
"1058",2013,"F","Phoebe",1059,0.00055046
"1059",2013,"F","Monica",597,0.00031031
"1060",2013,"F","Chandler",195,0.00010136
"1061",2013,"F","Joey",73,3.794e-05
"1062",2013,"M","Chandler",674,0.0003342
"1063",2013,"M","Joey",380,0.00018842
"1064",2013,"M","Ross",193,9.57e-05
"1065",2014,"F","Rachel",2081,0.00106628
"1066",2014,"F","Phoebe",1102,0.00056465
"1067",2014,"F","Monica",575,0.00029462
"1068",2014,"F","Chandler",222,0.00011375
"1069",2014,"F","Joey",117,5.995e-05
"1070",2014,"M","Chandler",730,0.00035708
"1071",2014,"M","Joey",369,0.00018049
"1072",2014,"M","Ross",184,9e-05
"1073",2014,"M","Rachel",5,2.45e-06
"1074",2015,"F","Rachel",1927,0.00099058
"1075",2015,"F","Phoebe",1117,0.0005742
"1076",2015,"F","Monica",555,0.0002853
"1077",2015,"F","Chandler",249,0.000128
"1078",2015,"F","Joey",95,4.884e-05
"1079",2015,"F","Ross",8,4.11e-06
"1080",2015,"M","Chandler",730,0.00035814
"1081",2015,"M","Joey",316,0.00015503
"1082",2015,"M","Ross",158,7.751e-05
"1083",2016,"F","Rachel",1869,0.00096918
"1084",2016,"F","Phoebe",1028,0.00053307
"1085",2016,"F","Monica",517,0.00026809
"1086",2016,"F","Chandler",264,0.0001369
"1087",2016,"F","Joey",153,7.934e-05
"1088",2016,"M","Chandler",652,0.00032313
"1089",2016,"M","Joey",354,0.00017544
"1090",2016,"M","Ross",191,9.466e-05
"1091",2017,"F","Rachel",1591,0.00084858
"1092",2017,"F","Phoebe",1012,0.00053976
"1093",2017,"F","Monica",469,0.00025015
"1094",2017,"F","Chandler",246,0.00013121
"1095",2017,"F","Joey",145,7.734e-05
"1096",2017,"F","Ross",6,3.2e-06
"1097",2017,"M","Chandler",590,0.00030052
"1098",2017,"M","Joey",295,0.00015026
"1099",2017,"M","Ross",161,8.201e-05
